Columna,Tipo,Nulos_finales,%_Completitud
STYT_est_STYT_ESTU_METODO_PRGM,object,0,100.0
STYT_est_STYT_ESTU_NACIONALIDAD,object,0,100.0
STYT_est_STYT_ESTU_NSE_IES,float64,0,100.0
STYT_est_STYT_ESTU_NSE_INDIVIDUAL,object,0,100.0
STYT_est_STYT_ESTU_PAIS_RESIDE,object,0,100.0
STYT_est_STYT_ESTU_PAISDOCUMENTOSB11,object,0,100.0
STYT_est_STYT_ESTU_PRGM_ACADEMICO,object,0,100.0
STYT_est_STYT_ESTU_PRGM_CODMUNICIPIO,int64,0,100.0
STYT_est_STYT_ESTU_PRGM_DEPARTAMENTO,object,0,100.0
STYT_est_STYT_ESTU_PRGM_MUNICIPIO,object,0,100.0
STYT_est_STYT_ESTU_PRIVADO_LIBERTAD,object,0,100.0
STYT_est_STYT_ESTU_SEMESTRECURSA,float64,0,100.0
STYT_est_STYT_ESTU_SNIES_PRGMACADEMICO,int64,0,100.0
STYT_est_STYT_ESTU_TIENEETNIA,object,0,100.0
STYT_est_STYT_ESTU_TIPODOCUMENTOSB11,object,0,100.0
STYT_est_STYT_ESTU_TITULOOBTENIDOBACHILLER,object,0,100.0
STYT_est_STYT_ESTU_VALORMATRICULAUNIVERSIDAD,object,0,100.0
STYT_est_STYT_ESTU_TIPODOCUMENTO,object,0,100.0
STYT_ins_STYT_ESTU_INST_CODMUNICIPIO,int64,0,100.0
STYT_ins_STYT_ESTU_INST_DEPARTAMENTO,object,0,100.0
STYT_ins_STYT_ESTU_INST_MUNICIPIO,object,0,100.0
STYT_ins_STYT_ESTU_NIVEL_PRGM_ACADEMICO,object,0,100.0
STYT_ins_STYT_ESTU_NUCLEO_PREGRADO,object,0,100.0
STYT_ins_STYT_GRUPOREFERENCIA,object,0,100.0
STYT_ins_STYT_INST_CARACTER_ACADEMICO,object,0,100.0
STYT_ins_STYT_INST_COD_INSTITUCION,int64,0,100.0
STYT_ins_STYT_INST_NOMBRE_INSTITUCION,object,0,100.0
STYT_ins_STYT_INST_ORIGEN,object,0,100.0
STYT_res_STYT_MOD_COMPETEN_CIUDADA_PNAL,float64,0,100.0
STYT_res_STYT_MOD_COMPETEN_CIUDADA_PUNT,float64,0,100.0
STYT_res_STYT_MOD_COMUNI_ESCRITA_PNAL,float64,0,100.0
STYT_res_STYT_MOD_COMUNI_ESCRITA_PUNT,float64,0,100.0
STYT_res_STYT_MOD_INGLES_PNAL,float64,0,100.0
STYT_res_STYT_MOD_INGLES_PUNT,int64,0,100.0
STYT_res_STYT_MOD_LECTURA_CRITICA_PNAL,float64,0,100.0
STYT_res_STYT_MOD_LECTURA_CRITICA_PUNT,float64,0,100.0
STYT_res_STYT_MOD_RAZONA_CUANTITAT_PUNT,float64,0,100.0
STYT_res_STYT_MOD_RAZONA_CUANTITATIVO_PNAL,float64,0,100.0
STYT_res_STYT_PUNT_GLOBAL,float64,0,100.0
STYT_soc_STYT_ESTU_PAGOMATRICULABECA,object,0,100.0
STYT_soc_STYT_ESTU_PAGOMATRICULACREDITO,object,0,100.0
STYT_soc_STYT_ESTU_PAGOMATRICULAPADRES,object,0,100.0
STYT_soc_STYT_ESTU_PAGOMATRICULAPROPIO,object,0,100.0
STYT_soc_STYT_FAMI_CABEZAFAMILIA,object,0,100.0
STYT_soc_STYT_FAMI_CUARTOSHOGAR,object,0,100.0
STYT_soc_STYT_FAMI_EDUCACIONMADRE,object,0,100.0
STYT_soc_STYT_FAMI_EDUCACIONPADRE,object,0,100.0
STYT_soc_STYT_FAMI_ESTRATOVIVIENDA,object,0,100.0
STYT_soc_STYT_FAMI_HOGARACTUAL,object,0,100.0
STYT_soc_STYT_FAMI_NUMLIBROS,object,0,100.0
STYT_soc_STYT_FAMI_NUMPERSONASACARGO,object,0,100.0
STYT_soc_STYT_FAMI_OCUPACIONMADRE,object,0,100.0
STYT_soc_STYT_FAMI_OCUPACIONPADRE,object,0,100.0
STYT_soc_STYT_FAMI_PERSONASHOGAR,object,0,100.0
STYT_soc_STYT_FAMI_TIENEAUTOMOVIL,object,0,100.0
STYT_soc_STYT_FAMI_TIENECOMPUTADOR,object,0,100.0
STYT_soc_STYT_FAMI_TIENEHORNOMICROOGAS,object,0,100.0
STYT_soc_STYT_FAMI_TIENEINTERNET,object,0,100.0
STYT_soc_STYT_FAMI_TIENELAVADORA,object,0,100.0
STYT_soc_STYT_FAMI_TIENEMOTOCICLETA,object,0,100.0
STYT_soc_STYT_FAMI_TIENESERVICIOTV,object,0,100.0
S11_est_S11_PERIODO_2,object,0,100.0
SPRO_est_SPRO_PERIODO_2,object,0,100.0
STYT_est_STYT_PERIODO_2,object,0,100.0
